BSE Index,Market Leader Symbol,Market Cap (Crores)
BSE AUTO,MARUTI,272799.44
BSE BANKEX,HDFCBANK,487554.51
BSE CONSUMER DURABLES,TITAN,71080.6
BSE CAPITAL GOODS,LT,188799.57
BSE Commodities,HINDZINC,121908.6
BSE Consumer Discretionary,MARUTI,272799.44
BSE Energy,RELIANCE,520064.0
BSE Financial Services,HDFCBANK,487554.51
BSE Industrials,LT,188799.57
BSE Fast Moving Consumer Goods,ITC,334214.86
BSE Telecommunication,BHARTIARTL,171632.85
BSE Utilities,NTPC,134978.25
BSE Healthcare,SUNPHARMA,140141.75
BSE Information Technology,TCS,569347.42
BSE METAL,COALINDIA,186222.28
BSE OIL & GAS,RELIANCE,520064.0
BSE POWER,NTPC,134978.25
BSE REALTY,DLF,40917.65
BSE TECK,TCS,569347.42
BSE Services,ADANIPORTS,83894.26
